4,caracal,10000,64,0.990000,20,0,100,0,0,0,1442459150,1672566,0,0
4,caracal,10000,64,0.990000,20,0,100,1,0,0,1444092554,1672720,0,0
4,caracal,10000,64,0.990000,20,0,100,2,0,0,1417419976,1901074,0,0
4,caracal,10000,64,0.990000,20,0,100,3,0,0,1476086910,1652642,0,0
4,caracal,10000,64,0.990000,20,0,100,4,0,0,1329436858,1672334,0,0
4,caracal,10000,64,0.990000,20,0,100,5,0,0,1439596870,1633088,0,0
4,caracal,10000,64,0.990000,20,0,100,6,0,0,1377505274,1659122,0,0
4,caracal,10000,64,0.990000,20,0,100,7,0,0,1326499456,1667346,0,0
4,caracal,10000,64,0.990000,20,0,100,8,0,0,1455825308,1647916,0,0
4,caracal,10000,64,0.990000,20,0,100,9,0,0,1408815198,1648532,0,0
4,caracal,10000,64,0.990000,20,0,100,10,0,0,1400945210,1658054,0,0
4,caracal,10000,64,0.990000,20,0,100,11,0,0,1352046546,1659148,0,0
4,caracal,10000,64,0.990000,20,0,100,12,0,0,1377943676,1639920,0,0
4,caracal,10000,64,0.990000,20,0,100,13,0,0,1497998826,1661874,0,0
4,caracal,10000,64,0.990000,20,0,100,14,0,0,1365027318,1682962,0,0
4,caracal,10000,64,0.990000,20,0,100,15,0,0,1399218334,1685124,0,0
4,caracal,10000,64,0.990000,20,0,100,16,1,0,1162329798,1366530,0,0
4,caracal,10000,64,0.990000,20,0,100,17,1,0,1224805084,1324340,0,0
4,caracal,10000,64,0.990000,20,0,100,18,1,0,1182792988,1326908,0,0
4,caracal,10000,64,0.990000,20,0,100,19,1,0,1330039208,1263122,0,0
4,caracal,10000,64,0.990000,20,0,100,20,1,0,1334189100,1298740,0,0
4,caracal,10000,64,0.990000,20,0,100,21,1,0,1259905224,1298204,0,0
4,caracal,10000,64,0.990000,20,0,100,22,1,0,1426896876,1297730,0,0
4,caracal,10000,64,0.990000,20,0,100,23,1,0,1452214024,1308840,0,0
4,caracal,10000,64,0.990000,20,0,100,24,1,0,1203196978,1284348,0,0
4,caracal,10000,64,0.990000,20,0,100,25,1,0,1138202004,1302556,0,0
4,caracal,10000,64,0.990000,20,0,100,26,1,0,1366673224,1289194,0,0
4,caracal,10000,64,0.990000,20,0,100,27,1,0,1267698746,1301994,0,0
4,caracal,10000,64,0.990000,20,0,100,28,1,0,1280035958,1290020,0,0
4,caracal,10000,64,0.990000,20,0,100,29,1,0,1399776026,1314426,0,0
4,caracal,10000,64,0.990000,20,0,100,30,1,0,1453177370,1307738,0,0
4,caracal,10000,64,0.990000,20,0,100,31,1,0,1003776418,1256770,0,0
4,caracal,10000,64,0.990000,20,0,100,32,0,0,1456793158,1673522,0,0
4,caracal,10000,64,0.990000,20,0,100,33,0,0,1376060810,1660148,0,0
4,caracal,10000,64,0.990000,20,0,100,34,0,0,1456396154,1625966,0,0
4,caracal,10000,64,0.990000,20,0,100,35,0,0,1447368934,1629842,0,0
4,caracal,10000,64,0.990000,20,0,100,36,0,0,1456550966,1660892,0,0
4,caracal,10000,64,0.990000,20,0,100,37,0,0,1392832896,1673498,0,0
4,caracal,10000,64,0.990000,20,0,100,38,0,0,1403738790,1653408,0,0
4,caracal,10000,64,0.990000,20,0,100,39,0,0,1355266906,1666042,0,0
4,caracal,10000,64,0.990000,20,0,100,40,0,0,1390783434,1656272,0,0
4,caracal,10000,64,0.990000,20,0,100,41,0,0,1447618488,1642224,0,0
4,caracal,10000,64,0.990000,20,0,100,42,0,0,1407544232,1648516,0,0
4,caracal,10000,64,0.990000,20,0,100,43,0,0,1408603956,1661506,0,0
4,caracal,10000,64,0.990000,20,0,100,44,0,0,1420517704,1674056,0,0
4,caracal,10000,64,0.990000,20,0,100,45,0,0,1475491362,1675618,0,0
4,caracal,10000,64,0.990000,20,0,100,46,0,0,1282717592,1681538,0,0
4,caracal,10000,64,0.990000,20,0,100,47,0,0,1390051540,1685592,0,0
4,caracal,10000,64,0.990000,20,0,100,48,1,0,1169670934,1368806,0,0
4,caracal,10000,64,0.990000,20,0,100,49,1,0,1280067808,1342812,0,0
4,caracal,10000,64,0.990000,20,0,100,50,1,0,1263729488,1309764,0,0
4,caracal,10000,64,0.990000,20,0,100,51,1,0,1357148098,1292890,0,0
4,caracal,10000,64,0.990000,20,0,100,52,1,0,1270643546,1320876,0,0
4,caracal,10000,64,0.990000,20,0,100,53,1,0,1323076002,1309980,0,0
4,caracal,10000,64,0.990000,20,0,100,54,1,0,1432143186,1299614,0,0
4,caracal,10000,64,0.990000,20,0,100,55,1,0,1407989870,1293730,0,0
4,caracal,10000,64,0.990000,20,0,100,56,1,0,1156422324,1294312,0,0
4,caracal,10000,64,0.990000,20,0,100,57,1,0,1064535230,1302430,0,0
4,caracal,10000,64,0.990000,20,0,100,58,1,0,1358939824,1306872,0,0
4,caracal,10000,64,0.990000,20,0,100,59,1,0,1277067352,1328258,0,0
4,caracal,10000,64,0.990000,20,0,100,60,1,0,1315720806,1286200,0,0
4,caracal,10000,64,0.990000,20,0,100,61,1,0,1438282512,1307994,0,0
4,caracal,10000,64,0.990000,20,0,100,62,1,0,1436887500,1308436,0,0
4,caracal,10000,64,0.990000,20,0,100,63,1,0,1286674194,990244,0,0
